n_episode : 48, Total Frames : 2779, Average Score : 160.2, Episode Score : 10.0, Best Score : 1020.0, n_buffer : 2779, eps : 97.3%
n_episode : 49, Total Frames : 2879, Average Score : 164.5, Episode Score : 370.0, Best Score : 1020.0, n_buffer : 2879, eps : 97.3%
n_episode : 50, Total Frames : 2998, Average Score : 172.6, Episode Score : 570.0, Best Score : 1020.0, n_buffer : 2998, eps : 97.2%
n_episode : 51, Total Frames : 3097, Average Score : 169.4, Episode Score : 10.0, Best Score : 1020.0, n_buffer : 3097, eps : 97.1%
n_episode : 52, Total Frames : 3135, Average Score : 167.3, Episode Score : 60.0, Best Score : 1020.0, n_buffer : 3135, eps : 97.0%
n_episode : 53, Total Frames : 3239, Average Score : 183.0, Episode Score : 1000.0, Best Score : 1020.0, n_buffer : 3239, eps : 96.9%
n_episode : 54, Total Frames : 3279, Average Score : 180.4, Episode Score : 40.0, Best Score : 1020.0, n_buffer : 3279, eps : 96.8%
n_episode : 55, Total Frames : 3334, Average Score : 178.7, Episode Score : 90.0, Best Score : 1020.0, n_buffer : 3334, eps : 96.8%
n_episode : 56, Total Frames : 3383, Average Score : 178.0, Episode Score : 140.0, Best Score : 1020.0, n_buffer : 3383, eps : 96.8%
n_episode : 57, Total Frames : 3421, Average Score : 176.0, Episode Score : 60.0, Best Score : 1020.0, n_buffer : 3421, eps : 96.7%
n_episode : 58, Total Frames : 3490, Average Score : 177.4, Episode Score : 260.0, Best Score : 1020.0, n_buffer : 3490, eps : 96.7%
n_episode : 59, Total Frames : 3542, Average Score : 175.1, Episode Score : 40.0, Best Score : 1020.0, n_buffer : 3542, eps : 96.6%
n_episode : 60, Total Frames : 3562, Average Score : 172.5, Episode Score : 20.0, Best Score : 1020.0, n_buffer : 3562, eps : 96.6%
n_episode : 61, Total Frames : 3619, Average Score : 172.6, Episode Score : 180.0, Best Score : 1020.0, n_buffer : 3619, eps : 96.5%
n_episode : 62, Total Frames : 3646, Average Score : 170.5, Episode Score : 40.0, Best Score : 1020.0, n_buffer : 3646, eps : 96.5%
n_episode : 63, Total Frames : 3863, Average Score : 177.6, Episode Score : 620.0, Best Score : 1020.0, n_buffer : 3863, eps : 96.5%
n_episode : 64, Total Frames : 3921, Average Score : 176.4, Episode Score : 100.0, Best Score : 1020.0, n_buffer : 3921, eps : 96.2%
n_episode : 65, Total Frames : 4005, Average Score : 177.7, Episode Score : 260.0, Best Score : 1020.0, n_buffer : 4005, eps : 96.2%
n_episode : 66, Total Frames : 4063, Average Score : 175.2, Episode Score : 10.0, Best Score : 1020.0, n_buffer : 4063, eps : 96.1%
n_episode : 67, Total Frames : 4194, Average Score : 186.0, Episode Score : 900.0, Best Score : 1020.0, n_buffer : 4194, eps : 96.1%
n_episode : 68, Total Frames : 4318, Average Score : 191.9, Episode Score : 590.0, Best Score : 1020.0, n_buffer : 4318, eps : 95.9%
n_episode : 69, Total Frames : 4372, Average Score : 190.0, Episode Score : 60.0, Best Score : 1020.0, n_buffer : 4372, eps : 95.8%
n_episode : 70, Total Frames : 4414, Average Score : 188.1, Episode Score : 60.0, Best Score : 1020.0, n_buffer : 4414, eps : 95.8%
n_episode : 71, Total Frames : 4462, Average Score : 187.9, Episode Score : 170.0, Best Score : 1020.0, n_buffer : 4462, eps : 95.7%
n_episode : 72, Total Frames : 4483, Average Score : 185.8, Episode Score : 40.0, Best Score : 1020.0, n_buffer : 4483, eps : 95.7%
n_episode : 73, Total Frames : 4528, Average Score : 184.9, Episode Score : 120.0, Best Score : 1020.0, n_buffer : 4528, eps : 95.7%
n_episode : 74, Total Frames : 4581, Average Score : 185.0, Episode Score : 190.0, Best Score : 1020.0, n_buffer : 4581, eps : 95.6%
n_episode : 75, Total Frames : 4639, Average Score : 183.9, Episode Score : 100.0, Best Score : 1020.0, n_buffer : 4639, eps : 95.6%
n_episode : 76, Total Frames : 4685, Average Score : 183.3, Episode Score : 140.0, Best Score : 1020.0, n_buffer : 4685, eps : 95.5%
n_episode : 77, Total Frames : 4703, Average Score : 181.2, Episode Score : 20.0, Best Score : 1020.0, n_buffer : 4703, eps : 95.5%
n_episode : 78, Total Frames : 4746, Average Score : 180.8, Episode Score : 150.0, Best Score : 1020.0, n_buffer : 4746, eps : 95.5%
n_episode : 79, Total Frames : 4788, Average Score : 179.6, Episode Score : 90.0, Best Score : 1020.0, n_buffer : 4788, eps : 95.4%
n_episode : 80, Total Frames : 4916, Average Score : 184.4, Episode Score : 560.0, Best Score : 1020.0, n_buffer : 4916, eps : 95.4%
n_episode : 81, Total Frames : 4971, Average Score : 183.6, Episode Score : 120.0, Best Score : 1020.0, n_buffer : 4971, eps : 95.3%
n_episode : 82, Total Frames : 5045, Average Score : 183.9, Episode Score : 210.0, Best Score : 1020.0, n_buffer : 5045, eps : 95.2%
n_episode : 83, Total Frames : 5134, Average Score : 183.3, Episode Score : 130.0, Best Score : 1020.0, n_buffer : 5134, eps : 95.1%
n_episode : 84, Total Frames : 5162, Average Score : 181.5, Episode Score : 40.0, Best Score : 1020.0, n_buffer : 5162, eps : 95.0%
n_episode : 85, Total Frames : 5220, Average Score : 180.9, Episode Score : 130.0, Best Score : 1020.0, n_buffer : 5220, eps : 95.0%
n_episode : 86, Total Frames : 5268, Average Score : 180.7, Episode Score : 160.0, Best Score : 1020.0, n_buffer : 5268, eps : 95.0%
n_episode : 87, Total Frames : 5327, Average Score : 178.7, Episode Score : 10.0, Best Score : 1020.0, n_buffer : 5327, eps : 94.9%
n_episode : 88, Total Frames : 5394, Average Score : 179.3, Episode Score : 230.0, Best Score : 1020.0, n_buffer : 5394, eps : 94.9%
n_episode : 89, Total Frames : 5419, Average Score : 177.5, Episode Score : 20.0, Best Score : 1020.0, n_buffer : 5419, eps : 94.8%
n_episode : 90, Total Frames : 5453, Average Score : 176.3, Episode Score : 70.0, Best Score : 1020.0, n_buffer : 5453, eps : 94.8%
n_episode : 91, Total Frames : 5520, Average Score : 176.8, Episode Score : 220.0, Best Score : 1020.0, n_buffer : 5520, eps : 94.7%
n_episode : 92, Total Frames : 5578, Average Score : 176.4, Episode Score : 140.0, Best Score : 1020.0, n_buffer : 5578, eps : 94.7%
n_episode : 93, Total Frames : 5634, Average Score : 175.1, Episode Score : 50.0, Best Score : 1020.0, n_buffer : 5634, eps : 94.6%
n_episode : 94, Total Frames : 5701, Average Score : 175.9, Episode Score : 250.0, Best Score : 1020.0, n_buffer : 5701, eps : 94.6%
n_episode : 95, Total Frames : 5766, Average Score : 175.2, Episode Score : 110.0, Best Score : 1020.0, n_buffer : 5766, eps : 94.5%
n_episode : 96, Total Frames : 5792, Average Score : 173.8, Episode Score : 40.0, Best Score : 1020.0, n_buffer : 5792, eps : 94.5%
n_episode : 97, Total Frames : 5924, Average Score : 181.2, Episode Score : 900.0, Best Score : 1020.0, n_buffer : 5924, eps : 94.4%
n_episode : 98, Total Frames : 6013, Average Score : 181.4, Episode Score : 200.0, Best Score : 1020.0, n_buffer : 6013, eps : 94.3%
n_episode : 99, Total Frames : 6040, Average Score : 180.1, Episode Score : 50.0, Best Score : 1020.0, n_buffer : 6040, eps : 94.2%
n_episode : 100, Total Frames : 6091, Average Score : 179.2, Episode Score : 90.0, Best Score : 1020.0, n_buffer : 6091, eps : 94.2%
n_episode : 101, Total Frames : 6139, Average Score : 179.0, Episode Score : 160.0, Best Score : 1020.0, n_buffer : 6139, eps : 94.1%
n_episode : 102, Total Frames : 6178, Average Score : 177.5, Episode Score : 20.0, Best Score : 1020.0, n_buffer : 6178, eps : 94.1%
n_episode : 103, Total Frames : 6233, Average Score : 177.2, Episode Score : 150.0, Best Score : 1020.0, n_buffer : 6233, eps : 94.1%
n_episode : 104, Total Frames : 6279, Average Score : 176.9, Episode Score : 150.0, Best Score : 1020.0, n_buffer : 6279, eps : 94.0%
n_episode : 105, Total Frames : 6313, Average Score : 176.2, Episode Score : 100.0, Best Score : 1020.0, n_buffer : 6313, eps : 94.0%
n_episode : 106, Total Frames : 6374, Average Score : 175.8, Episode Score : 130.0, Best Score : 1020.0, n_buffer : 6374, eps : 93.9%
n_episode : 107, Total Frames : 6424, Average Score : 176.6, Episode Score : 270.0, Best Score : 1020.0, n_buffer : 6424, eps : 93.9%
n_episode : 108, Total Frames : 6468, Average Score : 176.3, Episode Score : 140.0, Best Score : 1020.0, n_buffer : 6468, eps : 93.8%
n_episode : 109, Total Frames : 6514, Average Score : 175.6, Episode Score : 100.0, Best Score : 1020.0, n_buffer : 6514, eps : 93.8%
n_episode : 110, Total Frames : 6530, Average Score : 174.4, Episode Score : 40.0, Best Score : 1020.0, n_buffer : 6530, eps : 93.8%
n_episode : 111, Total Frames : 6559, Average Score : 173.1, Episode Score : 30.0, Best Score : 1020.0, n_buffer : 6559, eps : 93.7%
n_episode : 112, Total Frames : 6631, Average Score : 173.4, Episode Score : 210.0, Best Score : 1020.0, n_buffer : 6631, eps : 93.7%
n_episode : 113, Total Frames : 6728, Average Score : 173.7, Episode Score : 210.0, Best Score : 1020.0, n_buffer : 6728, eps : 93.6%
n_episode : 114, Total Frames : 6780, Average Score : 172.6, Episode Score : 50.0, Best Score : 1020.0, n_buffer : 6780, eps : 93.6%
n_episode : 115, Total Frames : 6846, Average Score : 173.1, Episode Score : 230.0, Best Score : 1020.0, n_buffer : 6846, eps : 93.5%
n_episode : 116, Total Frames : 6898, Average Score : 172.2, Episode Score : 70.0, Best Score : 1020.0, n_buffer : 6898, eps : 93.4%
